sample,time,aliquot,vial_name,sample_wt_initial,sample_wt_final
Deer,0,1,Deer.0.1,,
Deer,0,2,Deer.0.2,,
Deer,0,3,Deer.0.3,,
,,,,,
Deer,5,1,Deer.5.1,3.02,1.129
Deer,5,2,Deer.5.2,3,1.45
Deer,5,3,Deer.5.3,3.194,1.662
,,,,,
Deer,10,1,Deer.10.1,3.083,0.842
Deer,10,2,Deer.10.2,2.94,0.796
Deer,10,3,Deer.10.3,3.293,0.909
Deer,,,,,
Deer,15,1,Deer.15.1,3.084,0.99
Deer,15,2,Deer.15.2,3.074,0.631
Deer,15,3,Deer.15.3,3.014,0.804
,,,,,
Deer,20,1,Deer.20.1,2.934,0.508
Deer,20,2,Deer.20.2,3.089,0.559
Deer,20,3,Deer.20.3,3.221,0.693
,,,,,
Deer,25,1,Deer.25.1,3.269,0.699
Deer,25,2,Deer.25.2,2.956,0.522
Deer,25,3,Deer.25.3,3.059,0.605
,,,,,
Deer,30,1,Deer.30.1,2.9,0.51
Deer,30,2,Deer.30.2,3,0.584
Deer,30,3,Deer.30.3,3.17,0.584
,,,,,
Deer,35,1,Deer.35.1,2.942,0.513
Deer,35,2,Deer.35.2,2.889,0.7
Deer,35,3,Deer.35.3,3.045,0.617
,,,,,
Deer,40,1,Deer.40.1,2.876,0.508
Deer,40,2,Deer.40.2,3.153,0.553
Deer,40,3,Deer.40.3,2.981,0.557
,,,,,
Deer,45,1,Deer.45.1,3.032,0.522
Deer,45,2,Deer.45.2,2.916,0.915
Deer,45,3,Deer.45.3,3.178,0.603
Deer,45,4,Deer.45.4,,
,,,,,
Deer,50,1,Deer.50.1,2.737,0.483
Deer,50,2,Deer.50.2,3.073,0.575
Deer,50,3,Deer.50.3,2.998,0.627
,,,,,
Deer,55,1,Deer.55.1,3.114,0.555
Deer,55,2,Deer.55.2,3.017,0.531
Deer,55,3,Deer.55.3,3.004,0.534
Deer,55,4,Deer.55.4,3.065,0.546
,,,,,
Deer,60,1,Deer.60.1,3.027,0.656
Deer,60,2,Deer.60.2,2.969,0.507
Deer,60,3,Deer.60.3,3.188,0.555
,,,,,
Deer,70,1,Deer.70.1,3.068,0.531
Deer,70,2,Deer.70.2,3.035,0.515
Deer,70,3,Deer.70.3,2.715,0.51
,,,,,
Deer,80,1,Deer.80.1,2.922,0.525
Deer,80,2,Deer.80.2,2.955,0.528
Deer,80,3,Deer.80.3,3.008,0.557
Deer,80,4,Deer.80.4,3.008,0.54
Deer,90,1,Deer.90.1,3.074,0.559
Deer,90,2,Deer.90.2,2.915,0.5
Deer,90,3,Deer.90.3,3.079,0.542
,,,,,
Deer,100,1,Deer.100.1,3.201,0.637
Deer,100,2,Deer.100.2,2.987,0.524
Deer,100,3,Deer.100.3,3.13,0.542
,,,,,
Deer,110,1,Deer.110.1,3.151,0.613
Deer,110,2,Deer.110.2,3.132,0.6
Deer,110,3,Deer.110.3,3.192,0.656
,,,,,
Deer,120,1,Deer.120.1,2.925,0.521
Deer,120,2,Deer.120.2,3.063,0.539
Deer,120,3,Deer.120.3,3.039,0.541
