sample,time,aliquot,vial_name,sample_wt_initial,sample_wt_final
goat,5,1,goat.5.1,2.546,0.28
goat,5,2,goat.5.2,2.521,0.23
goat,5,3,goat.5.3,2.515,0.233
goat,10,1,goat.10.1,2.449,0.301
goat,10,2,goat.10.2,2.556,0.302
goat,10,3,goat.10.3,2.548,0.246
goat,15,1,goat.15.1,2.503,0.235
goat,15,2,goat.15.2,2.551,0.254
goat,15,3,goat.15.3,2.536,0.25
goat,20,1,goat.20.1,2.556,0.23
goat,20,2,goat.20.2,2.514,0.231
goat,20,3,goat.20.3,2.511,0.227
goat,25,1,goat.25.1,2.459,0.228
goat,25,2,goat.25.2,2.47,0.242
goat,25,3,goat.25.3,2.495,0.262
goat,30,1,goat.30.1,2.504,0.242
goat,30,2,goat.30.2,2.485,0.252
goat,30,3,goat.30.3,2.549,0.239
goat,35,1,goat.35.1,2.536,0.232
goat,35,2,goat.35.2,2.537,0.236
goat,35,3,goat.35.3,2.555,0.247
goat,40,1,goat.40.1,2.499,0.237
goat,40,2,goat.40.2,2.485,0.235
goat,40,3,goat.40.3,2.526,0.231
goat,45,1,goat.45.1,2.52,0.269
goat,45,2,goat.45.2,2.45,0.232
goat,45,3,goat.45.3,2.45,0.246
goat,50,1,goat.50.1,2.492,0.245
goat,50,2,goat.50.2,2.475,0.223
goat,50,3,goat.50.3,2.467,0.228
goat,55,1,goat.55.1,2.463,0.248
goat,55,2,goat.55.2,2.544,0.238
goat,55,3,goat.55.3,2.474,0.255
goat,60,1,goat.60.1,2.52,0.265
goat,60,2,goat.60.2,2.454,0.274
goat,60,3,goat.60.3,2.475,0.252
goat,70,1,goat.70.1,2.513,0.243
goat,70,2,goat.70.2,2.484,0.255
goat,70,3,goat.70.3,2.55,0.26
goat,80,1,goat.80.1,2.4,0.235
goat,80,2,goat.80.2,2.464,0.229
goat,80,3,goat.80.3,2.512,0.236
goat,90,1,goat.90.1,2.447,0.242
goat,90,2,goat.90.2,2.455,0.246
goat,90,3,goat.90.3,2.484,0.246
goat,100,1,goat.100.1,2.453,0.234
goat,100,2,goat.100.2,2.476,0.23
goat,100,3,goat.100.3,2.417,0.233
goat,110,1,goat.110.1,2.429,0.234
goat,110,2,goat.110.2,2.432,0.24
goat,110,3,goat.110.3,2.46,0.227
goat,120,1,goat.120.1,2.433,0.244
goat,120,2,goat.120.2,2.484,0.26
goat,120,3,goat.120.3,2.544,0.261
