Identifier_1,sample,amount,Area 28,Area 44,d13C_corrected,d15N_corrected,N_wt_percent,C_wt_percent,C/N
16286,blank,0,1.325,168.457,-40.27173853500165,-2.812788495094588,Inf,Inf,NA
16363,costech acetanilide,0.369,129.021,175.6,-28.259828198490798,-0.7065240380485802,10.085262123218268,68.86503145119434,6.828283748089543
16334,costech acetanilide,0.32,113.507,154.167,-28.385095691781093,-0.8079394452345958,10.256038416281605,69.98549710413299,6.823833361722791
16295,costech acetanilide,0.312,112.573,152.54,-28.37438939022766,-0.8492243936808423,10.43420192617612,71.04623043450921,6.808975994251811
16287,costech acetanilide,0.347,125.617,169.311,-28.352338700327476,-0.792350464298703,10.446750707881428,70.68089736458768,6.765825981782384
16296,deer.005.1,1.123,310.378,187.643,-26.236242959881476,4.007316363506345,7.889148471479227,24.136925372126484,3.059509585779259
16297,deer.005.2,1.209,273.284,168.447,-26.205424409390275,4.053947952223219,6.458724672552367,20.185854376669436,3.125362265781855
16298,deer.005.3,0.812,203.258,123.147,-26.2144015950926,4.0510482061441735,7.173252658166063,22.20509202642178,3.09554020812907
16299,deer.010.1,0.877,300.734,177.825,-26.313739132535627,4.057776245303092,9.790522396857359,29.332128125538176,2.9959717098398593
16300,deer.010.2,0.662,258.533,151.762,-26.375569862443484,4.03503655082868,11.164177288204689,33.31865787289766,2.984425722807169
16301,deer.010.3,0.776,287.022,169.555,-26.407245633912243,4.063074460001632,10.564190000649502,31.650263694168864,2.9959953098366237
16302,deer.015.1,1.02,313.008,187.14,-26.404644810101967,4.068489561928495,8.75884769876726,26.504892216176774,3.0260706804968343
16303,deer.015.2,0.477,254.202,146.211,-26.360837891872787,4.061257207151291,15.236861976418743,44.60350162557107,2.9273417121321614
16304,deer.015.3,0.764,293.315,172.897,-26.387179066492898,4.099171256951401,10.963480831077526,32.76290243796582,2.9883668282699754
16305,deer.020.1,0.498,262.419,152.072,-26.4025063493156,4.082142440188907,15.06180764250191,44.37865785810438,2.946436371480088
16309,deer.020.2,0.556,290.381,168.601,-26.400203778100224,4.08732119190171,14.915424040784462,43.93231525562491,2.9454285131617572
