Identifier_1,sample,time,temperature,material,genus,species,sample_wt_initial,sample_wt_final,amount,d13C_corrected,d15N_corrected,N_wt_percent,C_wt_percent,C/N,notes
17460,deer.000.1,0,5,bone,Odocoileus,hemionus,1,1,3.003,-25.76,3.98,3.84,12.75,3.32,
17461,deer.000.2,0,5,bone,Odocoileus,hemionus,1,1,3.788,-25.66,3.85,3.86,12.86,3.34,
17462,deer.000.3,0,5,bone,Odocoileus,hemionus,1,1,3.112,-25.76,3.95,3.88,12.89,3.32,
16296,deer.005.1,5,5,bone,Odocoileus,hemionus,3.02,1.129,1.123,-26.24,4.01,7.89,24.14,3.06,
16297,deer.005.2,5,5,bone,Odocoileus,hemionus,3,1.45,1.209,-26.21,4.05,6.46,20.19,3.13,
16298,deer.005.3,5,5,bone,Odocoileus,hemionus,3.194,1.662,0.812,-26.21,4.05,7.17,22.21,3.1,
16299,deer.010.1,10,5,bone,Odocoileus,hemionus,3.083,0.842,0.877,-26.31,4.06,9.79,29.33,3,
16300,deer.010.2,10,5,bone,Odocoileus,hemionus,2.94,0.796,0.662,-26.38,4.04,11.16,33.32,2.98,
16301,deer.010.3,10,5,bone,Odocoileus,hemionus,3.293,0.909,0.776,-26.41,4.06,10.56,31.65,3,
16302,deer.015.1,15,5,bone,Odocoileus,hemionus,3.084,0.99,1.02,-26.4,4.07,8.76,26.5,3.03,
16303,deer.015.2,15,5,bone,Odocoileus,hemionus,3.074,0.631,0.477,-26.36,4.06,15.24,44.6,2.93,
16304,deer.015.3,15,5,bone,Odocoileus,hemionus,3.014,0.804,0.764,-26.39,4.1,10.96,32.76,2.99,
16305,deer.020.1,20,5,bone,Odocoileus,hemionus,2.934,0.508,0.498,-26.4,4.08,15.06,44.38,2.95,
16309,deer.020.2,20,5,bone,Odocoileus,hemionus,3.089,0.559,0.556,-26.4,4.09,14.92,43.93,2.95,
,deer.020.3,20,5,bone,Odocoileus,hemionus,3.221,0.693,,,,,,,
16310,deer.025.1,25,5,bone,Odocoileus,hemionus,3.269,0.699,0.696,-26.43,4.12,12.82,38.29,2.99,
16311,deer.025.2,25,5,bone,Odocoileus,hemionus,2.956,0.522,0.519,-26.41,4.08,14.76,43.48,2.95,
16312,deer.025.3,25,5,bone,Odocoileus,hemionus,3.059,0.605,0.619,-26.41,4.1,14.32,42.22,2.95,
16313,deer.030.1,30,5,bone,Odocoileus,hemionus,2.9,0.51,0.495,-26.37,4.09,15.18,44.68,2.94,
16314,deer.030.2,30,5,bone,Odocoileus,hemionus,3,0.584,0.591,-26.37,4.08,13.9,40.93,2.94,
16315,deer.030.3,30,5,bone,Odocoileus,hemionus,3.17,0.584,0.609,-26.26,4.2,14.29,42.5,2.98,
16316,deer.035.1,35,5,bone,Odocoileus,hemionus,2.942,0.513,0.538,-26.38,4.13,14.78,43.65,2.95,
16317,deer.035.2,35,5,bone,Odocoileus,hemionus,2.889,0.7,0.694,-26.39,4.12,11.17,33.45,3,
16318,deer.035.3,35,5,bone,Odocoileus,hemionus,3.045,0.617,0.637,-26.37,4.11,13.19,39.19,2.97,
16322,deer.040.1,40,5,bone,Odocoileus,hemionus,2.876,0.508,0.498,-26.33,4.14,15.15,44.36,2.93,
16323,deer.040.2,40,5,bone,Odocoileus,hemionus,3.153,0.553,0.537,-26.38,4.13,15.2,44.72,2.94,
16324,deer.040.3,40,5,bone,Odocoileus,hemionus,2.981,0.557,0.543,-26.33,4.11,14.5,42.74,2.95,
16325,deer.045.1,45,5,bone,Odocoileus,hemionus,3.032,0.522,0.535,-26.34,4.14,15.03,44.13,2.94,
16326,deer.045.2,45,5,bone,Odocoileus,hemionus,2.916,0.915,0.919,-26.32,4.13,8.88,26.98,3.04,
16327,deer.045.3,45,5,bone,Odocoileus,hemionus,3.178,0.603,0.637,-26.34,4.16,13.77,40.64,2.95,
16328,deer.050.1,50,5,bone,Odocoileus,hemionus,2.737,0.483,0.482,-26.31,4.12,15.17,44.58,2.94,
16329,deer.050.2,50,5,bone,Odocoileus,hemionus,3.073,0.575,0.454,-26.33,4.14,15.2,44.88,2.95,
16330,deer.050.3,50,5,bone,Odocoileus,hemionus,2.998,0.627,0.538,-26.31,4.14,15.03,44.49,2.96,
16331,deer.055.1,55,5,bone,Odocoileus,hemionus,3.114,0.555,0.566,-26.32,4.21,15.19,44.57,2.93,
16335,deer.055.2,55,5,bone,Odocoileus,hemionus,3.017,0.531,0.551,-26.29,4.17,15.19,44.61,2.94,
16336,deer.055.3,55,5,bone,Odocoileus,hemionus,3.004,0.534,0.547,-26.31,4.19,15.25,44.84,2.94,
16337,deer.060.1,60,5,bone,Odocoileus,hemionus,3.027,0.656,0.539,-26.32,4.18,14.91,43.97,2.95,
16338,deer.060.2,60,5,bone,Odocoileus,hemionus,2.969,0.507,0.493,-26.27,4.17,15.14,44.46,2.94,
16339,deer.060.3,60,5,bone,Odocoileus,hemionus,3.188,0.555,0.435,-26.26,4.16,15.08,44.23,2.93,
16340,deer.070.1,70,5,bone,Odocoileus,hemionus,3.068,0.531,0.538,-26.27,4.18,15.24,44.89,2.94,
16341,deer.070.2,70,5,bone,Odocoileus,hemionus,3.035,0.515,0.509,-26.3,4.17,15.22,44.49,2.92,
16342,deer.070.3,70,5,bone,Odocoileus,hemionus,2.715,0.51,0.5,-26.31,4.19,15.15,44.5,2.94,
16343,deer.080.1,80,5,bone,Odocoileus,hemionus,2.922,0.525,0.476,-26.27,4.17,15.25,44.78,2.94,
