Identifier_1,sample,amount,Area 28,Area 44,d13C_corrected,d15N_corrected,N_wt_percent,C_wt_percent,C/N
16363,costech acetanilide,0.369,129.021,175.6,-28.2598282,-0.706524038,10.08526212,68.86503145,6.828283748
16334,costech acetanilide,0.32,113.507,154.167,-28.38509569,-0.807939445,10.25603842,69.9854971,6.823833362
16295,costech acetanilide,0.312,112.573,152.54,-28.37438939,-0.849224394,10.43420193,71.04623043,6.808975994
16287,costech acetanilide,0.347,125.617,169.311,-28.3523387,-0.792350464,10.44675071,70.68089736,6.765825982
17465,costech acetanilide,0.298,109.444,147.534,-28.44117407,-0.621045283,10.4872045,71.00409396,6.77054538
17452,costech acetanilide,0.435,159.077,216.682,-28.36485941,-0.706482338,10.3535964,70.8620829,6.844199848
17426,costech acetanilide,0.352,127.389,174.821,-28.25789772,-0.759086834,10.29441749,70.94746252,6.891838475
17387,costech acetanilide,0.367,134.289,181.412,-28.45920016,-0.682490506,10.39589187,70.55810176,6.787113858
17379,costech acetanilide,0.332,123.342,165.333,-28.54695244,-0.687653535,10.57597515,71.22661427,6.734756208
4993,costech acetanilide,0.406,186.575,232.393,-28.20749892,-0.502221723,10.51820913,71.7199627,6.818647723
4996,costech acetanilide,0.376,168.53,212.093,-28.2866699,-0.359824105,10.25897002,70.67755813,6.8893425
5013,costech acetanilide,0.409,181.797,232.117,-28.21162689,-0.757060027,10.17367334,71.10934645,6.989544887
5028,costech acetanilide,0.421,186.296,240.454,-28.17565853,-0.559191922,10.1282828,71.56372802,7.065731621
5041,costech acetanilide,0.382,169.416,219.869,-28.26203083,-0.868931638,10.15092094,72.11800171,7.104577224
5056,costech acetanilide,0.348,176.56,230.073,-28.18527224,-0.603905048,11.61254636,82.83797192,7.133489017
5069,costech acetanilide,0.404,177.192,231.758,-28.1441883,-1.235240698,10.038692,71.87807136,7.160103265
5075,costech acetanilide,0.379,162.904,213.631,-28.21983907,-1.312642281,9.838002371,70.62656912,7.178954269
16347,Mb squid,0.327,133.975,97.314,-18.68193518,11.84304664,11.80982945,44.02315955,3.727671067
16321,Mb squid,0.411,169.208,123.05,-18.78235589,11.99490851,11.82483107,43.83670524,3.707173912
16308,Mb squid,0.588,241.374,177.493,-18.9236927,11.89707192,11.74243401,43.66932082,3.718932616
16294,Mb squid,0.532,222.424,161.694,-18.66300178,11.94412019,11.96931568,44.08737458,3.683366348
17439,Mb squid,0.669,286.866,210.875,-18.48879515,11.99123907,12.0378722,44.86290015,3.726813129
17413,Mb squid,0.473,198.504,145.648,-18.69595084,11.99918188,11.83711563,44.17671738,3.732050844
17400,Mb squid,0.472,200.717,147.524,-18.80972871,11.96370714,11.9924257,44.82589441,3.7378505
