sample,time,aliquot,vial_name,sample_wt_initial,sample_wt_final
shark,0,1,shark.0.1,,
shark,0,2,shark.0.2,,
shark,0,3,shark.0.3,,
shark,5,1,shark.5.1,2.96,0.408
shark,5,2,shark.5.2,3.144,0.677
shark,5,3,shark.5.3,3.177,0.515
shark,10,1,shark.10.1,,
shark,10,2,shark.10.2,,
shark,10,3,shark.10.3,,
shark,15,1,shark.15.1,,
shark,15,2,shark.15.2,,
shark,15,3,shark.15.3,,
shark,20,1,shark.20.1,,
shark,20,2,shark.20.2,,
shark,20,3,shark.20.3,,
shark,25,1,shark.25.1,,
shark,25,2,shark.25.2,,
shark,25,3,shark.25.3,,
shark,30,1,shark.30.1,3.163,0.08
shark,30,2,shark.30.2,2.948,0.076
shark,30,3,shark.30.3,2.947,0.063
shark,35,1,shark.35.1,,
shark,35,2,shark.35.2,,
shark,35,3,shark.35.3,,
shark,40,1,shark.40.1,,
shark,40,2,shark.40.2,,
shark,40,3,shark.40.3,,
shark,45,1,shark.45.1,,
shark,45,2,shark.45.2,,
shark,45,3,shark.45.3,,
shark,50,1,shark.50.1,,
shark,50,2,shark.50.2,,
shark,50,3,shark.50.3,,
shark,55,1,shark.55.1,,
shark,55,2,shark.55.2,,
shark,55,3,shark.55.3,,
shark,60,1,shark.60.1,3.032,0.067
shark,60,2,shark.60.2,2.976,0.069
shark,60,3,shark.60.3,2.992,0.067
shark,70,1,shark.70.1,,
shark,70,2,shark.70.2,,
shark,70,3,shark.70.3,,
shark,80,1,shark.80.1,,
shark,80,2,shark.80.2,,
shark,80,3,shark.80.3,,
shark,80,4,shark.80.4,,
shark,90,1,shark.90.1,,
shark,90,2,shark.90.2,,
shark,90,3,shark.90.3,,
shark,100,1,shark.100.1,,
shark,100,2,shark.100.2,,
shark,100,3,shark.100.3,,
shark,110,1,shark.110.1,,
shark,110,2,shark.110.2,,
shark,110,3,shark.110.3,,
shark,120,1,shark.120.1,2.976,0.077
shark,120,2,shark.120.2,2.897,0.07
shark,120,3,shark.120.3,3.106,0.072
