sample,time,temperature,aliquot,vial_name,sample_wt_initial,sample_wt_final,notes
Odocoileus,0,5,1,deer.000.1,1,1,
Odocoileus,0,5,2,deer.000.2,1,1,
Odocoileus,0,5,3,deer.000.3,1,1,
Odocoileus,5,5,1,deer.005.1,3.02,1.129,
Odocoileus,0,5,2,deer.005.2,3,1.45,
Odocoileus,5,5,3,deer.005.3,3.194,1.662,
Odocoileus,10,5,1,deer.010.1,3.083,0.842,
Odocoileus,10,5,2,deer.010.2,2.94,0.796,
Odocoileus,10,5,3,deer.010.3,3.293,0.909,
Odocoileus,15,5,1,deer.015.1,3.084,0.99,
Odocoileus,15,5,2,deer.015.2,3.074,0.631,
Odocoileus,15,5,3,deer.015.3,3.014,0.804,
Odocoileus,20,5,1,deer.020.1,2.934,0.508,
Odocoileus,20,5,2,deer.020.2,3.089,0.559,
Odocoileus,20,5,3,deer.020.3,3.221,0.693,
Odocoileus,25,5,1,deer.025.1,3.269,0.699,
Odocoileus,25,5,2,deer.025.2,2.956,0.522,
Odocoileus,25,5,3,deer.025.3,3.059,0.605,
Odocoileus,30,5,1,deer.030.1,2.9,0.51,
Odocoileus,30,5,2,deer.030.2,3,0.584,
Odocoileus,30,5,3,deer.030.3,3.17,0.584,
Odocoileus,35,5,1,deer.035.1,2.942,0.513,
Odocoileus,35,5,2,deer.035.2,2.889,0.7,
Odocoileus,35,5,3,deer.035.3,3.045,0.617,
Odocoileus,40,5,1,deer.040.1,2.876,0.508,
Odocoileus,40,5,2,deer.040.2,3.153,0.553,
Odocoileus,40,5,3,deer.040.3,2.981,0.557,
Odocoileus,45,5,1,deer.045.1,3.032,0.522,
Odocoileus,45,5,2,deer.045.2,2.916,0.915,
Odocoileus,45,5,3,deer.045.3,3.178,0.603,
Odocoileus,50,5,1,deer.050.1,2.737,0.483,
Odocoileus,50,5,2,deer.050.2,3.073,0.575,
Odocoileus,50,5,3,deer.050.3,2.998,0.627,
Odocoileus,55,5,1,deer.055.1,3.114,0.555,
Odocoileus,55,5,2,deer.055.2,3.017,0.531,
Odocoileus,55,5,3,deer.055.3,3.004,0.534,
Odocoileus,60,5,1,deer.060.1,3.027,0.656,
Odocoileus,60,5,2,deer.060.2,2.969,0.507,
Odocoileus,60,5,3,deer.060.3,3.188,0.555,
Odocoileus,70,5,1,deer.070.1,3.068,0.531,
Odocoileus,70,5,2,deer.070.2,3.035,0.515,
Odocoileus,70,5,3,deer.070.3,2.715,0.51,
Odocoileus,80,5,1,deer.080.1,2.922,0.525,
Odocoileus,80,5,2,deer.080.2,2.955,0.528,
Odocoileus,80,5,3,deer.080.3,3.008,0.557,
Odocoileus,90,5,1,deer.090.1,3.074,0.559,
Odocoileus,90,5,2,deer.090.2,2.915,0.5,
Odocoileus,90,5,3,deer.090.3,3.079,0.542,
Odocoileus,100,5,1,deer.100.1,3.201,0.637,
Odocoileus,100,5,2,deer.100.2,2.987,0.524,
Odocoileus,100,5,3,deer.100.3,3.13,0.542,
Odocoileus,1080,5,1,deer.1080.1,4.107,0.674,
Odocoileus,1080,5,2,deer.1080.2,3.854,0.416,
Odocoileus,1080,5,3,deer.1080.3,3.19,0.428,
Odocoileus,110,5,1,deer.110.1,3.151,0.613,
Odocoileus,110,5,2,deer.110.2,3.132,0.6,
Odocoileus,110,5,3,deer.110.3,3.192,0.656,
Odocoileus,120,5,1,deer.120.1,2.925,0.521,
Odocoileus,120,5,2,deer.120.2,3.063,0.539,
Odocoileus,120,5,3,deer.120.3,3.039,0.541,
Odocoileus,1440,5,1,deer.1440.1,3.205,0.547,
Odocoileus,1440,5,2,deer.1440.2,3.057,0.534,
Odocoileus,1440,5,3,deer.1440.3,3.287,0.71,
Capra,0,5,,goat.000.1,1,1,
Capra,0,5,,goat.000.2,1,1,
Capra,0,5,,goat.000.3,1,1,
Capra,5,5,1,goat.005.1,2.546,0.28,
Capra,5,5,2,goat.005.2,2.521,0.23,
Capra,5,5,3,goat.005.3,2.515,0.233,
Capra,10,5,1,goat.010.1,2.449,0.301,
Capra,10,5,2,goat.010.2,2.556,0.302,
Capra,10,5,3,goat.010.3,2.548,0.246,
Capra,15,5,1,goat.015.1,2.503,0.235,
Capra,15,5,2,goat.015.2,2.551,0.254,
Capra,15,5,3,goat.015.3,2.536,0.25,
Capra,20,5,1,goat.020.1,2.556,0.23,
Capra,20,5,2,goat.020.2,2.514,0.231,
Capra,20,5,3,goat.020.3,2.511,0.227,
Capra,25,5,1,goat.025.1,2.459,0.228,
Capra,25,5,2,goat.025.2,2.47,0.242,
Capra,25,5,3,goat.025.3,2.495,0.262,
Capra,30,5,1,goat.030.1,2.504,0.242,
Capra,30,5,2,goat.030.2,2.485,0.252,
Capra,30,5,3,goat.030.3,2.549,0.239,
Capra,35,5,1,goat.035.1,2.536,0.232,
Capra,35,5,2,goat.035.2,2.537,0.236,
Capra,35,5,3,goat.035.3,2.555,0.247,
Capra,40,5,1,goat.040.1,2.499,0.237,
Capra,40,5,2,goat.040.2,2.485,0.235,
Capra,40,5,3,goat.040.3,2.526,0.231,
Capra,45,5,1,goat.045.1,2.52,0.269,
Capra,45,5,2,goat.045.2,2.45,0.232,
Capra,45,5,3,goat.045.3,2.45,0.246,
Capra,50,5,1,goat.050.1,2.492,0.245,
